alumni_id,graduation_year,age,events_attended,emails_received,emails_opened,newsletter_clicks,volunteer_events,previous_donations,total_donation_amount,donation_frequency,days_since_last_donation,career_level,industry,days_since_last_interaction,donated_next_12_months
10001,2018,40,4,40,7,6,3,4,1212,0,439,Executive,Finance,374,1
10002,2008,34,10,6,0,12,3,2,2768,3,211,Senior,Other,387,1
10003,1994,47,3,40,8,8,5,3,5776,2,399,Senior,Other,167,1
10004,2022,35,7,12,27,3,3,2,444,3,673,Mid,Education,479,1
10005,1987,52,3,49,1,14,3,2,9589,0,716,Entry,Healthcare,95,1
10006,2000,25,10,46,13,10,3,0,0,1,913,Executive,Manufacturing,134,1
10007,2018,60,7,13,12,5,3,4,3676,5,540,Senior,Manufacturing,37,1
10008,1998,29,5,5,1,8,5,1,2310,4,181,Senior,Healthcare,287,1
10009,2002,46,10,17,3,10,3,4,4040,1,50,Executive,Technology,68,1
10010,1990,34,4,19,11,15,3,5,7085,5,746,Entry,Education,233,1
10011,1990,53,3,36,9,10,4,3,1827,3,525,Mid,Manufacturing,66,1
10012,2003,59,3,38,2,4,5,3,6285,2,349,Executive,Finance,55,1
10013,2015,59,3,47,3,11,3,4,3219,3,57,Executive,Other,275,1
10014,2019,49,10,35,5,0,1,4,5559,0,418,Executive,Other,191,1
10015,2003,51,8,18,22,2,4,2,6771,0,136,Mid,Technology,119,1
10016,1982,24,3,18,4,10,5,1,4688,2,639,Senior,Manufacturing,400,1
10017,2001,49,8,33,2,14,2,2,4511,5,36,Executive,Education,399,1
10018,1981,24,9,23,9,8,0,0,0,1,493,Executive,Manufacturing,10,1
10019,2003,66,5,31,18,15,5,0,0,0,358,Executive,Education,396,1
10020,2023,55,9,13,13,2,4,3,6328,0,779,Executive,Technology,145,1
10021,2009,37,6,41,20,10,3,3,2330,2,84,Entry,Other,13,1
10022,2017,43,9,41,27,10,4,1,685,1,721,Entry,Healthcare,33,1
10023,1981,53,2,47,20,9,0,3,4958,3,650,Entry,Other,203,1
10024,2000,59,7,32,35,1,0,5,684,4,538,Senior,Education,85,1
10025,2012,29,2,28,23,3,5,0,0,2,343,Executive,Education,468,0
10026,1991,29,0,32,37,4,3,1,733,1,744,Executive,Technology,380,1
10027,2001,27,9,40,16,6,3,0,0,4,170,Executive,Technology,153,1
10028,2023,35,4,22,21,6,1,4,9323,2,689,Executive,Finance,169,1
10029,2004,53,1,29,18,8,0,4,5450,3,865,Mid,Other,444,1
10030,2006,56,9,39,9,12,3,1,4635,3,19,Mid,Other,166,1
10031,2021,31,5,8,10,7,0,2,1732,1,908,Mid,Technology,385,0
10032,2007,24,9,18,37,12,1,5,6527,1,302,Executive,Manufacturing,184,1
10033,1995,33,8,43,1,14,2,5,6725,3,775,Mid,Education,305,1
10034,1994,52,0,30,32,15,0,3,6303,3,996,Mid,Healthcare,112,0
10035,2023,50,3,12,30,1,1,1,8031,2,196,Senior,Technology,143,1
10036,1982,26,0,28,34,11,1,5,1419,5,326,Senior,Education,317,1
10037,2016,46,0,20,36,7,1,3,4710,5,575,Mid,Healthcare,353,1
10038,1986,62,7,24,35,7,4,0,0,1,555,Mid,Finance,394,0
10039,2000,52,10,19,22,4,5,2,1441,4,755,Senior,Manufacturing,210,0
10040,1988,42,1,11,35,14,3,3,2390,3,11,Mid,Finance,382,1
10041,2018,41,0,21,39,12,0,4,1384,4,360,Executive,Technology,190,1
10042,1997,60,10,26,38,2,5,4,2156,1,771,Mid,Manufacturing,285,1
10043,1983,43,7,26,25,8,4,0,0,1,295,Executive,Finance,181,0
10044,2004,25,3,16,24,11,0,1,1391,0,402,Mid,Education,454,1
10045,1993,34,2,22,16,6,5,3,7422,3,437,Entry,Technology,154,1
10046,1988,66,3,50,14,0,4,0,0,5,768,Mid,Other,341,0
10047,2005,63,10,19,36,7,3,4,4800,5,374,Entry,Finance,191,1
10048,1981,41,4,41,3,9,1,4,3142,1,746,Mid,Manufacturing,80,1
10049,1999,34,0,20,21,12,5,4,268,1,758,Mid,Manufacturing,334,1
